model_id,fom,variables,aic,null_aic,delta_aic,null_deviance,residual_dev,dev_explained,MCFaddenPseudoR2,spatial_auc,training_auc,test_auc,toc_auc,number_of_variables
266,0.488014068332796,"mat_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,pen_lingue15,dis_plant87_lingue",1033.60125797825,1008.5542341485,-25.0470238297492,1133.98878739607,1019.60125797825,114.387529417824,0.100871834615302,0.699890339117159,0.712621277969405,0.72,0.872218191958318,6
267,0.465353978892227,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,predios_lingue1",1033.77463627201,1008.5542341485,-25.2204021235143,1122.87867934041,1021.77463627201,101.104043068394,0.0900400416612986,0.668491586676756,0.698648343809634,0.684139373533313,0.749212722740758,5
268,0.488358700380897,"bn_lingue_87,dis_comunidades_lingue,dis_caminos_lingue,dis_hid_lingue,pen_lingue15,predios_lingue1",1033.79254666865,1008.5542341485,-25.2383125201486,1122.87867934041,1019.79254666865,103.08613267176,0.0918052275534469,0.689569371480893,0.703922058760768,0.737577798183859,0.942119644321613,6
269,0.486088932083738,"bn_lingue_87,dis_comunidades_lingue,pen_lingue15,predios_lingue1",1033.8113450633,1008.5542341485,-25.2571109147987,1122.87867934041,1023.8113450633,99.0673342771098,0.0882262136594341,0.691203302457891,0.704300059138769,0.735715743291501,0.93960283606957,4
270,0.495948258506141,"mat_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,pen_lingue15,dis_plant87_lingue",1033.84205916863,1008.5542341485,-25.2878250201361,1133.98878739607,1021.84205916863,112.146728227437,0.0988957999178761,0.697814691141589,0.709990973272517,0.7203,0.868053297182979,5
271,0.486488429594481,"mat_lingue_87,dis_urbano_lingue,dis_hid_lingue,pen_lingue15,dis_plant87_lingue",1033.85574125443,1008.5542341485,-25.3015071059358,1133.98878739607,1021.85574125443,112.133046141637,0.0988837344671841,0.696254408852384,0.706804717810152,0.718775,0.870664508378713,5
272,0.484724828359211,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_caminos_lingue,dis_hid_lingue,pen_lingue15,predios_lingue1",1033.9120039866,1008.5542341485,-25.3577698381055,1122.87867934041,1017.9120039866,104.966675353803,0.0934799789906617,0.684076382087531,0.702416154029057,0.727247219671462,0.811363760002137,7
273,0.489360902491121,"bn_lingue_87,mat_lingue_87,dis_comunidades_lingue,dis_hid_lingue,pen_lingue15,predios_lingue1",1033.95136377853,1008.5542341485,-25.397129630034,1122.87867934041,1019.95136377853,102.927315561874,0.0916637900920296,0.68991013133337,0.704391510843124,0.738853178247118,0.939241983216807,6
274,0.487288069331549,"bn_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_hid_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1034.0539903765,1008.5542341485,-25.4997562280073,1122.87867934041,1018.0539903765,104.824688963901,0.0933535304325811,0.687817151747383,0.705507221636254,0.737679828588919,0.942998515425432,7
275,0.492703536642403,"dis_urbano_lingue,pen_lingue15",1034.16431261617,1008.5542341485,-25.6100784676682,1133.98878739607,1028.16431261617,105.824474779905,0.0933205653848702,0.700284794668537,0.701191408468386,0.725875,0.882364615336505,2
276,0.489132374907231,"bn_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,predios_lingue1",1034.29775304498,1008.5542341485,-25.7435188964823,1122.87867934041,1022.29775304498,100.580926295426,0.0895741705190346,0.687256368717551,0.707775223904256,0.712121212121212,0.924523990080871,5
277,0.471315862751771,"mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_hid_lingue,predios_lingue1",1034.32307926973,1008.5542341485,-25.7688451212318,1122.87867934041,1022.32307926973,100.555600070677,0.0895516157896454,0.671831324490706,0.699038537748215,0.692556881950821,0.813106343762933,5
278,0.480698214608204,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_hid_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1034.35697709391,1008.5542341485,-25.8027429454075,1122.87867934041,1016.35697709391,106.521702246501,0.0948648364301236,0.68344833868441,0.705177995500576,0.730027548209366,0.874035970433891,8
279,0.464870992385224,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_hid_lingue,predios_lingue1",1034.36974188669,1008.5542341485,-25.8155077381928,1122.87867934041,1020.36974188669,102.508937453716,0.0912911958698251,0.669271980450316,0.700203022783668,0.685618814406693,0.74714927451813,6
280,0.488820011896935,"bn_lingue_87,mat_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,predios_lingue1",1034.49779706581,1008.5542341485,-25.9435629173095,1122.87867934041,1020.49779706581,102.380882274599,0.0911771540045081,0.684618468468196,0.709457935264387,0.706407509437812,0.901863605585557,6
281,0.476303714787749,"mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,dis_plant87_lingue,predios_lingue1",1034.53820395462,1008.5542341485,-25.9839698061251,1122.87867934041,1018.53820395462,104.340475385783,0.0929223052369953,0.672816600968237,0.703251412928832,0.689240893786348,0.827277820158579,7
282,0.482604778191047,"bn_lingue_87,dis_comunidades_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1034.59190067896,1008.5542341485,-26.0376665304648,1122.87867934041,1022.59190067896,100.286778661444,0.0893122120017039,0.686473136893238,0.703714768230897,0.732323232323232,0.955497471480304,5
283,0.484256785437839,"bn_lingue_87,dis_comunidades_lingue,dis_caminos_lingue,dis_hid_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1034.68478967469,1008.5542341485,-26.1305555261956,1122.87867934041,1018.68478967469,104.193889665713,0.0927917606619066,0.686006107296607,0.703989123343962,0.734797469645954,0.955133846277763,7
284,0.486386212113161,"bn_lingue_87,mat_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,predios_lingue1",1034.69455512962,1008.5542341485,-26.1403209811228,1122.87867934041,1022.69455512962,100.184124210786,0.0892207912164074,0.68247128332378,0.704568317471543,0.708932761963065,0.890560778208761,5
285,0.488792045483006,"bn_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,predios_lingue1",1034.71935477622,1008.5542341485,-26.1651206277204,1122.87867934041,1024.71935477622,98.159324564188,0.0874175691196204,0.685350806705741,0.703428219557252,0.713013978165493,0.911817718312458,4
286,0.484418945114357,"bn_lingue_87,mat_lingue_87,dis_comunidades_lingue,dis_hid_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1034.76836684189,1008.5542341485,-26.214132693392,1122.87867934041,1018.76836684189,104.110312498516,0.0927173294978513,0.686030247358241,0.704464672206608,0.735409652076319,0.953934091723456,7
287,0.497738639656324,"dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,pen_lingue15",1034.81328991179,1008.5542341485,-26.2590557632932,1133.98878739607,1024.81328991179,109.17549748428,0.0962756410801686,0.70235124275335,0.705830309479259,0.72525,0.887104624879378,4
288,0.478539071171622,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_caminos_lingue,dis_hid_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1034.85972347419,1008.5542341485,-26.3054893256935,1122.87867934041,1016.85972347419,106.018955866215,0.0944171065110005,0.680498850783188,0.702751476945025,0.725665748393021,0.827629077456371,8
